#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,768,0.000251636,0.000248158
378993:9475,04/06/24 08:01:17,80,79,0.000078340,0.000075069
379006:9475,04/06/24 10:52:20,23,23,0.000034543,0.000033845
379011:9475,04/06/24 11:58:18,399,399,0.000504597,0.000456245
379012:9475,04/06/24 14:37:43,73,73,0.000082533,0.000081406
379028:9476,04/06/24 19:56:15,534,534,0.000758387,0.000740666
379031:9476,04/07/24 00:02:34,289,289,0.000379032,0.000371124
379058:9479,04/07/24 09:34:30,826,826,0.009956905,0.009697763
379075:9483,04/08/24 02:29:09,375,375,0.004163003,0.004066712
379154:9485,04/08/24 22:13:02,1049,1049,0.011531203,0.011253902
379238:9496,04/10/24 16:44:48,286,286,0.017584003,0.016972106
379243:9497,04/10/24 20:30:21,299,299,0.019508292,0.019185687
379252:9499,04/11/24 01:57:11,644,644,0.045714724,0.044646290
379253:9499,04/11/24 06:08:54,104,104,0.007893492,0.007785590
379338:9510,04/12/24 14:27:21,170,170,0.012900885,0.011673167
379355:9512,04/13/24 03:39:10,20,20,0.003016859,0.002867533
379416:9517,04/14/24 17:34:18,195,195,0.042223999,0.039665176
379420:9518,04/14/24 21:02:55,516,516,0.112159104,0.105915354
379425:9519,04/15/24 02:03:52,203,203,0.038950014,0.036662559
379433:9520,04/15/24 05:13:11,21,21,0.001445962,0.001317406
379442:9521,04/15/24 07:07:46,269,269,0.056124393,0.052826824
379454:9523,04/15/24 11:25:22,498,498,0.108599939,0.098761520
379456:9523,04/15/24 14:47:09,1199,1199,0.213867768,0.200930037
379470:9525,04/16/24 00:38:26,794,794,0.176689134,0.166290707
379530:9530,04/17/24 01:12:13,593,593,0.191940700,0.179354912
379613:9537,04/18/24 03:20:17,120,120,0.031984748,0.030215392
379617:9537,04/18/24 04:23:35,664,664,0.225950277,0.212173331
379618:9537,04/18/24 08:43:50,360,360,0.102654407,0.098876336
379660:9539,04/18/24 16:49:04,1507,1507,0.436403975,0.420688731
379661:9539,04/19/24 02:37:20,406,406,0.080810141,0.079727835
379729:9543,04/19/24 17:38:45,1465,1465,0.460166083,0.446076940
379765:9548,04/20/24 14:03:25,1695,1695,0.557740932,0.529987228
379774:9549,04/21/24 03:13:58,157,157,0.052104114,0.049674628
379866:9559,04/23/24 20:37:55,1347,1347,0.282317013,0.274846900
379984:9562,04/25/24 11:47:58,913,913,0.239496848,0.232848100
380001:9564,04/25/24 20:39:17,691,691,0.240209574,0.231830483
380005:9565,04/26/24 03:10:19,1062,1062,0.368833019,0.353536384
380007:9565,04/26/24 10:12:08,129,129,0.037005951,0.035178888
380029:9566,04/26/24 15:02:20,55,55,0.011268058,0.010387435
380030:9566,04/26/24 15:37:30,346,346,0.146323394,0.138848435
380032:9566,04/26/24 19:11:02,19,19,0.007326713,0.006891669
380033:9566,04/26/24 19:21:25,53,53,0.020904664,0.019948303
380043:9567,04/26/24 22:44:31,900,900,0.360928718,0.343330821
